aluno,materia,turma,serie_num,n1_norm,n2_norm,n3_norm,n4_norm,media_pond_norm,media_geral_aluno,slope_notas,variancia_notas,serie_num_norm,pct_materias_ok,media_turma_norm,status_encoded,status_label
Ana Ferreira,Biologia,5° Fundamental,6,0.82,0.55,0.4,0.97,0.6925,0.6252,0.09,0.446,0.0,0.6154,0.5939,2,Aprovado
Ana Ferreira,Ciências,5° Fundamental,6,0.96,0.65,0.37,0.29,0.534,0.6252,-0.687,0.5262,0.0,0.6154,0.5928,1,Recuperação
Ana Ferreira,Educação Física,5° Fundamental,6,0.35,0.23,0.22,0.76,0.4105,0.6252,0.366,0.4393,0.0,0.6154,0.5915,0,Reprovado
Ana Ferreira,Filosofia,5° Fundamental,6,0.54,0.66,1.0,0.61,0.706,0.6252,0.165,0.3539,0.0,0.6154,0.6039,2,Aprovado
Ana Ferreira,Física,5° Fundamental,6,0.74,0.85,0.3,0.96,0.7235,0.6252,0.033,0.5011,0.0,0.6154,0.6147,2,Aprovado
Ana Ferreira,Geografia,5° Fundamental,6,0.91,0.85,0.68,0.87,0.8255,0.6252,-0.087,0.1757,0.0,0.6154,0.6086,2,Aprovado
Ana Ferreira,História,5° Fundamental,6,0.65,0.92,0.58,0.38,0.619,0.6252,-0.345,0.3866,0.0,0.6154,0.6029,2,Aprovado
Ana Ferreira,Inglês,5° Fundamental,6,0.68,0.64,0.91,0.74,0.7455,0.6252,0.135,0.2061,0.0,0.6154,0.6071,2,Aprovado
Ana Ferreira,Matemática,5° Fundamental,6,0.2,0.32,0.59,0.5,0.4175,0.6252,0.351,0.3041,0.0,0.6154,0.5935,0,Reprovado
Ana Ferreira,Português,5° Fundamental,6,0.39,0.82,0.85,0.56,0.6635,0.6252,0.162,0.3801,0.0,0.6154,0.6053,2,Aprovado
Ana Ferreira,Química,5° Fundamental,6,0.74,0.4,0.66,0.43,0.542,0.6252,-0.201,0.2913,0.0,0.6154,0.6031,1,Recuperação
Ana Ferreira,Sociologia,5° Fundamental,6,0.51,0.91,0.39,0.46,0.565,0.6252,-0.201,0.4046,0.0,0.6154,0.5998,1,Recuperação
Ana Lima,Arte,5° Fundamental,6,0.28,0.79,0.23,0.52,0.467,0.66,0.048,0.4446,0.0,0.6923,0.6067,0,Reprovado
Ana Lima,Biologia,5° Fundamental,6,0.7,0.43,0.91,0.73,0.694,0.66,0.171,0.343,0.0,0.6923,0.5939,2,Aprovado
Ana Lima,Ciências,5° Fundamental,6,0.57,0.98,0.95,0.8,0.8365,0.66,0.198,0.3245,0.0,0.6923,0.5928,2,Aprovado
Ana Lima,Educação Física,5° Fundamental,6,0.37,0.93,0.5,0.85,0.6865,0.66,0.303,0.4676,0.0,0.6923,0.5915,2,Aprovado
Ana Lima,Filosofia,5° Fundamental,6,0.72,0.29,0.49,0.87,0.6,0.66,0.195,0.4419,0.0,0.6923,0.6039,2,Aprovado
Ana Lima,Física,5° Fundamental,6,0.74,0.88,0.45,0.66,0.6785,0.66,-0.201,0.3112,0.0,0.6923,0.6147,2,Aprovado
Ana Lima,Geografia,5° Fundamental,6,0.51,0.91,0.94,0.22,0.6305,0.66,-0.252,0.5967,0.0,0.6923,0.6086,2,Aprovado
Ana Lima,História,5° Fundamental,6,0.61,0.94,0.99,0.76,0.8325,0.66,0.15,0.3015,0.0,0.6923,0.6029,2,Aprovado
Ana Lima,Inglês,5° Fundamental,6,0.97,0.52,0.93,0.43,0.6855,0.66,-0.363,0.4801,0.0,0.6923,0.6071,2,Aprovado
Ana Lima,Matemática,5° Fundamental,6,0.42,0.31,0.43,0.71,0.482,0.66,0.297,0.2954,0.0,0.6923,0.5935,0,Reprovado
Ana Lima,Português,5° Fundamental,6,0.75,0.76,0.96,0.85,0.835,0.66,0.15,0.1691,0.0,0.6923,0.6053,2,Aprovado
Ana Lima,Química,5° Fundamental,6,0.54,0.23,0.76,0.81,0.5985,0.66,0.402,0.4575,0.0,0.6923,0.6031,1,Recuperação
Ana Lima,Sociologia,5° Fundamental,6,0.85,0.82,0.27,0.37,0.5535,0.66,-0.597,0.5203,0.0,0.6923,0.5998,1,Recuperação
Ana Ribeiro,Arte,5° Fundamental,6,0.84,0.26,0.98,0.87,0.739,0.6058,0.243,0.5611,0.0,0.5385,0.6067,2,Aprovado
Ana Ribeiro,Biologia,5° Fundamental,6,0.4,0.74,0.48,0.48,0.529,0.6058,-0.006,0.2567,0.0,0.5385,0.5939,1,Recuperação
Ana Ribeiro,Ciências,5° Fundamental,6,0.6,0.62,0.46,0.58,0.564,0.6058,-0.066,0.1245,0.0,0.5385,0.5928,1,Recuperação
Ana Ribeiro,Educação Física,5° Fundamental,6,0.53,0.45,0.4,0.99,0.6155,0.6058,0.399,0.4683,0.0,0.5385,0.5915,2,Aprovado
Ana Ribeiro,Filosofia,5° Fundamental,6,0.41,0.26,0.21,0.29,0.2865,0.6058,-0.123,0.1472,0.0,0.5385,0.6039,0,Reprovado
Ana Ribeiro,Física,5° Fundamental,6,0.31,0.63,0.58,0.95,0.6495,0.6058,0.561,0.4546,0.0,0.5385,0.6147,2,Aprovado
Ana Ribeiro,Geografia,5° Fundamental,6,0.87,0.92,0.71,0.94,0.8635,0.6058,0.0,0.1806,0.0,0.5385,0.6086,2,Aprovado
Ana Ribeiro,História,5° Fundamental,6,0.34,0.87,0.81,0.33,0.587,0.6058,-0.027,0.5068,0.0,0.5385,0.6029,1,Recuperação
Ana Ribeiro,Inglês,5° Fundamental,6,0.55,0.47,0.9,0.69,0.6595,0.6058,0.255,0.3263,0.0,0.5385,0.6071,2,Aprovado
Ana Ribeiro,Matemática,5° Fundamental,6,0.72,0.62,0.77,0.78,0.7255,0.6058,0.099,0.1268,0.0,0.5385,0.5935,2,Aprovado
Ana Ribeiro,Português,5° Fundamental,6,0.31,0.42,0.69,0.56,0.5075,0.6058,0.306,0.2865,0.0,0.5385,0.6053,1,Recuperação
Ana Ribeiro,Química,5° Fundamental,6,0.66,0.55,0.83,0.59,0.654,0.6058,0.021,0.2142,0.0,0.5385,0.6031,2,Aprovado
Ana Ribeiro,Sociologia,5° Fundamental,6,0.43,0.48,0.35,0.67,0.4945,0.6058,0.177,0.2355,0.0,0.5385,0.5998,0,Reprovado
Beatriz Barbosa,Arte,5° Fundamental,6,0.65,0.73,0.79,0.5,0.66,0.598,-0.117,0.2174,0.0,0.4615,0.6067,2,Aprovado
Beatriz Barbosa,Biologia,5° Fundamental,6,0.43,0.83,0.53,0.78,0.66,0.598,0.225,0.3345,0.0,0.4615,0.5939,2,Aprovado
Beatriz Barbosa,Ciências,5° Fundamental,6,0.94,0.81,0.37,0.36,0.591,0.598,-0.654,0.5183,0.0,0.4615,0.5928,1,Recuperação
Beatriz Barbosa,Educação Física,5° Fundamental,6,0.76,0.84,0.59,0.46,0.6475,0.598,-0.345,0.2954,0.0,0.4615,0.5915,2,Aprovado
Beatriz Barbosa,Filosofia,5° Fundamental,6,0.79,0.35,0.62,0.42,0.5265,0.598,-0.252,0.3454,0.0,0.4615,0.6039,1,Recuperação
Beatriz Barbosa,Física,5° Fundamental,6,0.62,0.49,0.72,0.29,0.5135,0.598,-0.228,0.3216,0.0,0.4615,0.6147,1,Recuperação
Beatriz Barbosa,Geografia,5° Fundamental,6,0.54,0.34,0.72,0.56,0.541,0.598,0.132,0.2698,0.0,0.4615,0.6086,1,Recuperação
Beatriz Barbosa,História,5° Fundamental,6,0.2,0.47,0.74,0.37,0.4535,0.598,0.234,0.3915,0.0,0.4615,0.6029,0,Reprovado
Beatriz Barbosa,Inglês,5° Fundamental,6,0.89,0.85,0.36,0.88,0.7445,0.598,-0.156,0.4455,0.0,0.4615,0.6071,2,Aprovado
Beatriz Barbosa,Matemática,5° Fundamental,6,0.36,0.92,0.87,0.78,0.7535,0.598,0.363,0.4417,0.0,0.4615,0.5935,2,Aprovado
Beatriz Barbosa,Português,5° Fundamental,6,0.59,0.27,0.87,0.98,0.697,0.598,0.531,0.5498,0.0,0.4615,0.6053,2,Aprovado
Beatriz Barbosa,Química,5° Fundamental,6,0.24,0.56,0.52,0.82,0.564,0.598,0.51,0.4112,0.0,0.4615,0.6031,1,Recuperação
Beatriz Barbosa,Sociologia,5° Fundamental,6,0.33,0.6,0.56,0.22,0.422,0.598,-0.111,0.316,0.0,0.4615,0.5998,0,Reprovado
Beatriz Gomes,Arte,5° Fundamental,6,0.31,0.9,0.91,0.98,0.8085,0.5879,0.606,0.5405,0.0,0.3077,0.6067,2,Aprovado
Beatriz Gomes,Biologia,5° Fundamental,6,0.54,0.39,0.64,0.2,0.4255,0.5879,-0.231,0.3318,0.0,0.3077,0.5939,0,Reprovado
Beatriz Gomes,Ciências,5° Fundamental,6,0.7,0.77,0.39,0.36,0.538,0.5879,-0.42,0.364,0.0,0.3077,0.5928,1,Recuperação
Beatriz Gomes,Educação Física,5° Fundamental,6,0.77,0.47,0.98,0.26,0.5945,0.5879,-0.306,0.5515,0.0,0.3077,0.5915,1,Recuperação
Beatriz Gomes,Filosofia,5° Fundamental,6,0.79,0.6,0.99,0.96,0.8435,0.5879,0.27,0.3113,0.0,0.3077,0.6039,2,Aprovado
Beatriz Gomes,Física,5° Fundamental,6,0.62,0.76,0.77,0.64,0.6985,0.5879,0.021,0.1359,0.0,0.3077,0.6147,2,Aprovado
Beatriz Gomes,Geografia,5° Fundamental,6,0.82,0.39,0.84,0.29,0.5585,0.5879,-0.342,0.4953,0.0,0.3077,0.6086,1,Recuperação
Beatriz Gomes,História,5° Fundamental,6,0.44,0.82,0.47,0.54,0.5725,0.5879,-0.015,0.3005,0.0,0.3077,0.6029,1,Recuperação
Beatriz Gomes,Inglês,5° Fundamental,6,0.64,0.39,0.46,0.74,0.5625,0.5879,0.111,0.2787,0.0,0.3077,0.6071,1,Recuperação
Beatriz Gomes,Matemática,5° Fundamental,6,0.89,0.31,0.26,0.53,0.4795,0.5879,-0.339,0.4967,0.0,0.3077,0.5935,0,Reprovado
Beatriz Gomes,Português,5° Fundamental,6,0.79,0.24,0.29,0.65,0.4855,0.5879,-0.111,0.467,0.0,0.3077,0.6053,0,Reprovado
Beatriz Gomes,Química,5° Fundamental,6,0.54,0.52,0.72,0.63,0.607,0.5879,0.141,0.159,0.0,0.3077,0.6031,2,Aprovado
Beatriz Gomes,Sociologia,5° Fundamental,6,0.37,0.58,0.29,0.59,0.4685,0.5879,0.111,0.2613,0.0,0.3077,0.5998,0,Reprovado
Beatriz Oliveira,Arte,5° Fundamental,6,0.83,0.93,0.81,0.88,0.865,0.6348,0.009,0.0931,0.0,0.6154,0.6067,2,Aprovado
Beatriz Oliveira,Biologia,5° Fundamental,6,0.79,0.82,0.88,0.67,0.784,0.6348,-0.09,0.153,0.0,0.6154,0.5939,2,Aprovado
Beatriz Oliveira,Ciências,5° Fundamental,6,0.44,0.25,0.53,0.2,0.343,0.6348,-0.132,0.27,0.0,0.6154,0.5928,0,Reprovado
Beatriz Oliveira,Educação Física,5° Fundamental,6,0.49,0.65,0.39,0.37,0.469,0.6348,-0.186,0.2216,0.0,0.6154,0.5915,0,Reprovado
Beatriz Oliveira,Filosofia,5° Fundamental,6,0.25,0.32,0.82,0.45,0.47,0.6348,0.33,0.4398,0.0,0.6154,0.6039,0,Reprovado
Beatriz Oliveira,Física,5° Fundamental,6,0.25,0.82,0.89,0.27,0.5585,0.6348,0.039,0.5972,0.0,0.6154,0.6147,1,Recuperação
Beatriz Oliveira,Geografia,5° Fundamental,6,0.36,0.54,0.89,0.87,0.6905,0.6348,0.564,0.4487,0.0,0.6154,0.6086,2,Aprovado
Beatriz Oliveira,História,5° Fundamental,6,0.83,0.32,0.82,0.87,0.712,0.6348,0.186,0.4519,0.0,0.6154,0.6029,2,Aprovado
Beatriz Oliveira,Inglês,5° Fundamental,6,0.52,0.27,0.82,0.98,0.6705,0.6348,0.579,0.5469,0.0,0.6154,0.6071,2,Aprovado
Beatriz Oliveira,Matemática,5° Fundamental,6,0.42,0.84,0.85,0.35,0.6115,0.6348,-0.06,0.4627,0.0,0.6154,0.5935,2,Aprovado
Beatriz Oliveira,Português,5° Fundamental,6,0.31,0.37,0.78,0.69,0.5565,0.6348,0.465,0.4023,0.0,0.6154,0.6053,1,Recuperação
Beatriz Oliveira,Química,5° Fundamental,6,0.59,0.27,0.95,0.86,0.681,0.6348,0.447,0.53,0.0,0.6154,0.6031,2,Aprovado
Beatriz Oliveira,Sociologia,5° Fundamental,6,0.71,0.88,0.73,0.99,0.8415,0.6348,0.207,0.2291,0.0,0.6154,0.5998,2,Aprovado
Bruno Moreira,Arte,5° Fundamental,6,0.54,0.75,0.5,0.43,0.5495,0.6851,-0.174,0.2385,0.0,0.8462,0.6067,1,Recuperação
Bruno Moreira,Biologia,5° Fundamental,6,0.72,0.68,0.98,0.4,0.679,0.6851,-0.198,0.4112,0.0,0.8462,0.5939,2,Aprovado
Bruno Moreira,Ciências,5° Fundamental,6,0.42,0.52,0.7,0.89,0.656,0.6851,0.477,0.3587,0.0,0.8462,0.5928,2,Aprovado
Bruno Moreira,Educação Física,5° Fundamental,6,0.34,0.46,0.94,0.71,0.631,0.6851,0.477,0.4629,0.0,0.8462,0.5915,2,Aprovado
Bruno Moreira,Filosofia,5° Fundamental,6,0.89,0.63,0.33,0.89,0.685,0.6851,-0.09,0.4616,0.0,0.8462,0.6039,2,Aprovado
Bruno Moreira,Física,5° Fundamental,6,0.73,0.96,0.66,0.99,0.848,0.6851,0.144,0.2851,0.0,0.8462,0.6147,2,Aprovado
Bruno Moreira,Geografia,5° Fundamental,6,0.86,0.76,0.28,0.97,0.723,0.6851,-0.045,0.5266,0.0,0.8462,0.6086,2,Aprovado
Bruno Moreira,História,5° Fundamental,6,0.79,0.87,0.64,0.93,0.8145,0.6851,0.057,0.2174,0.0,0.8462,0.6029,2,Aprovado
Bruno Moreira,Inglês,5° Fundamental,6,0.85,0.56,0.49,0.68,0.6365,0.6851,-0.174,0.2729,0.0,0.8462,0.6071,2,Aprovado
Bruno Moreira,Matemática,5° Fundamental,6,0.79,0.54,0.41,0.72,0.6115,0.6851,-0.102,0.2988,0.0,0.8462,0.5935,2,Aprovado
Bruno Moreira,Português,5° Fundamental,6,0.86,0.33,0.97,0.8,0.737,0.6851,0.138,0.4889,0.0,0.8462,0.6053,2,Aprovado
Bruno Moreira,Química,5° Fundamental,6,0.8,0.57,0.64,0.92,0.7385,0.6851,0.129,0.2733,0.0,0.8462,0.6031,2,Aprovado
Bruno Moreira,Sociologia,5° Fundamental,6,0.68,0.38,0.79,0.56,0.5965,0.6851,0.015,0.3041,0.0,0.8462,0.5998,1,Recuperação
Bruno Nunes,Arte,5° Fundamental,6,0.3,0.85,0.34,0.76,0.5855,0.5891,0.261,0.49,0.0,0.3846,0.6067,1,Recuperação
Bruno Nunes,Biologia,5° Fundamental,6,0.44,0.82,0.28,0.45,0.498,0.5891,-0.153,0.3961,0.0,0.3846,0.5939,0,Reprovado
Bruno Nunes,Ciências,5° Fundamental,6,0.83,0.67,0.3,0.23,0.4775,0.5891,-0.651,0.5005,0.0,0.3846,0.5928,0,Reprovado
Bruno Nunes,Educação Física,5° Fundamental,6,0.37,0.43,0.48,0.85,0.5565,0.5891,0.447,0.3748,0.0,0.3846,0.5915,1,Recuperação
Bruno Nunes,Filosofia,5° Fundamental,6,0.96,0.34,0.46,0.56,0.56,0.5891,-0.324,0.4656,0.0,0.3846,0.6039,1,Recuperação
Bruno Nunes,Física,5° Fundamental,6,0.88,0.26,0.73,0.7,0.6335,0.5891,-0.021,0.4622,0.0,0.3846,0.6147,2,Aprovado
Bruno Nunes,Geografia,5° Fundamental,6,0.38,0.49,0.85,0.88,0.675,0.5891,0.558,0.4375,0.0,0.3846,0.6086,2,Aprovado
Bruno Nunes,História,5° Fundamental,6,0.59,0.25,0.24,0.53,0.3995,0.5891,-0.057,0.3179,0.0,0.3846,0.6029,0,Reprovado
Bruno Nunes,Inglês,5° Fundamental,6,0.21,0.38,0.92,0.66,0.565,0.5891,0.567,0.5415,0.0,0.3846,0.6071,1,Recuperação
Bruno Nunes,Matemática,5° Fundamental,6,1.0,0.86,0.74,0.77,0.831,0.5891,-0.243,0.2022,0.0,0.3846,0.5935,2,Aprovado
Bruno Nunes,Português,5° Fundamental,6,0.92,0.57,1.0,0.38,0.6905,0.5891,-0.357,0.5064,0.0,0.3846,0.6053,2,Aprovado
Bruno Nunes,Química,5° Fundamental,6,0.63,0.85,0.33,0.47,0.562,0.5891,-0.3,0.3868,0.0,0.3846,0.6031,1,Recuperação
Bruno Nunes,Sociologia,5° Fundamental,6,0.81,0.67,0.28,0.75,0.6245,0.5891,-0.171,0.4134,0.0,0.3846,0.5998,2,Aprovado
Bruno Santos,Arte,5° Fundamental,6,0.46,1.0,0.48,0.34,0.564,0.6565,-0.264,0.5079,0.0,0.6154,0.6067,1,Recuperação
Bruno Santos,Biologia,5° Fundamental,6,0.23,0.71,0.43,0.51,0.484,0.6565,0.168,0.3441,0.0,0.6154,0.5939,0,Reprovado
Bruno Santos,Ciências,5° Fundamental,6,0.27,0.69,0.96,0.75,0.6915,0.6565,0.513,0.5009,0.0,0.6154,0.5928,2,Aprovado
Bruno Santos,Educação Física,5° Fundamental,6,0.83,0.98,0.97,0.89,0.9205,0.6565,0.051,0.1228,0.0,0.6154,0.5915,2,Aprovado
Bruno Santos,Filosofia,5° Fundamental,6,0.34,0.92,0.54,0.86,0.691,0.6565,0.354,0.4736,0.0,0.6154,0.6039,2,Aprovado
Bruno Santos,Física,5° Fundamental,6,0.65,0.68,0.8,0.76,0.728,0.6565,0.135,0.1203,0.0,0.6154,0.6147,2,Aprovado
Bruno Santos,Geografia,5° Fundamental,6,0.39,0.74,0.46,0.57,0.549,0.6565,0.078,0.2642,0.0,0.6154,0.6086,1,Recuperação
Bruno Santos,História,5° Fundamental,6,0.55,0.95,0.88,0.51,0.7205,0.6565,-0.057,0.3892,0.0,0.6154,0.6029,2,Aprovado
Bruno Santos,Inglês,5° Fundamental,6,0.67,0.62,0.52,0.34,0.521,0.6565,-0.327,0.2523,0.0,0.6154,0.6071,1,Recuperação
Bruno Santos,Matemática,5° Fundamental,6,0.39,0.25,0.77,0.49,0.48,0.6565,0.246,0.3809,0.0,0.6154,0.5935,0,Reprovado
Bruno Santos,Português,5° Fundamental,6,0.51,0.38,0.88,0.92,0.693,0.6565,0.519,0.4651,0.0,0.6154,0.6053,2,Aprovado
Bruno Santos,Química,5° Fundamental,6,0.85,0.76,0.63,0.67,0.7185,0.6565,-0.201,0.1699,0.0,0.6154,0.6031,2,Aprovado
Bruno Santos,Sociologia,5° Fundamental,6,0.78,0.74,0.83,0.75,0.7735,0.6565,0.0,0.07,0.0,0.6154,0.5998,2,Aprovado
Camila Alves,Arte,5° Fundamental,6,0.46,0.26,0.67,0.58,0.4985,0.5984,0.231,0.307,0.0,0.6923,0.6067,0,Reprovado
Camila Alves,Biologia,5° Fundamental,6,0.81,0.53,0.69,0.49,0.614,0.5984,-0.24,0.2561,0.0,0.6923,0.5939,2,Aprovado
Camila Alves,Ciências,5° Fundamental,6,0.33,0.94,0.59,0.87,0.7095,0.5984,0.381,0.484,0.0,0.6923,0.5928,2,Aprovado
Camila Alves,Educação Física,5° Fundamental,6,0.49,0.9,0.92,0.22,0.619,0.5984,-0.237,0.5871,0.0,0.6923,0.5915,2,Aprovado
Camila Alves,Filosofia,5° Fundamental,6,0.99,0.57,0.68,0.82,0.7565,0.5984,-0.12,0.3145,0.0,0.6923,0.6039,2,Aprovado
Camila Alves,Física,5° Fundamental,6,0.96,0.57,0.43,0.84,0.694,0.5984,-0.15,0.4207,0.0,0.6923,0.6147,2,Aprovado
Camila Alves,Geografia,5° Fundamental,6,0.39,0.94,0.35,0.86,0.6585,0.5984,0.246,0.5338,0.0,0.6923,0.6086,2,Aprovado
Camila Alves,História,5° Fundamental,6,0.22,0.61,0.85,0.73,0.628,0.5984,0.531,0.4732,0.0,0.6923,0.6029,2,Aprovado
Camila Alves,Inglês,5° Fundamental,6,0.51,0.54,0.62,0.78,0.626,0.5984,0.267,0.2095,0.0,0.6923,0.6071,2,Aprovado
Camila Alves,Matemática,5° Fundamental,6,0.23,0.34,0.28,0.6,0.381,0.5984,0.315,0.2851,0.0,0.6923,0.5935,0,Reprovado
Camila Alves,Português,5° Fundamental,6,0.66,0.49,0.55,0.84,0.644,0.5984,0.18,0.2663,0.0,0.6923,0.6053,2,Aprovado
Camila Alves,Química,5° Fundamental,6,0.35,0.5,0.5,0.28,0.404,0.5984,-0.063,0.1915,0.0,0.6923,0.6031,0,Reprovado
Camila Alves,Sociologia,5° Fundamental,6,0.4,0.61,0.44,0.68,0.5465,0.5984,0.201,0.2321,0.0,0.6923,0.5998,1,Recuperação
Camila Araújo,Arte,5° Fundamental,6,0.45,0.25,0.65,0.65,0.51,0.5833,0.3,0.3317,0.0,0.4615,0.6067,1,Recuperação
Camila Araújo,Biologia,5° Fundamental,6,0.94,0.66,0.44,0.97,0.754,0.5833,-0.039,0.4344,0.0,0.4615,0.5939,2,Aprovado
